"1825","3,000,000 acres (1,200,000 ha)","Miramichi Fire","New Brunswick","Killed 160 people."
"1865","1,000,000 acres (400,000 ha)","Silverton Fire","Oregon","Worst recorded fire in state's history."
"1870","964,000 acres (390,000 ha)","Saguenay Fire","Quebec",""
"1871","1,200,000 acres (490,000 ha)","Peshtigo Fire","Wisconsin","Killed over 1,700 people and has distinction of the conflagration that caused the most deaths by fire in United States history. It was overshadowed by the Great Chicago Fire that occurred on the same day."
"1871","2,500,000 acres (1,000,000 ha)","The Great Michigan Fire","Michigan","It was overshadowed by the Great Chicago Fire that occurred on the same day."
"1876","500,000 acres (200,000 ha)","Bighorn Fire","Wyoming",""
"1881","1,000,000 acres (400,000 ha)","Thumb Fire","Michigan","Killed 200+ people"
"1889","300,000 acres (120,000 ha)","Santiago Canyon Fire of 1889","California",""
"1894","160,000 acres (65,000 ha)","Hinckley Fire","Minnesota","Killed 418 people and destroyed 12 towns"
"1903","464,000 acres (188,000 ha)","Adirondack Fire","New York",""
"1908","64,000 acres (25,900 ha)","1908 Fernie Fire","British Columbia","Town of Fernie, BC destroyed. 22 casualties reported. Cause: logging slash."
"1910","3,000,000 acres (1,200,000 ha)","Great Fire of 1910","Idaho- Montana- Washington","Killed 86 people, including 78 firefighters"
"1911","500,000 acres (200,000 ha)","Great Porcupine Fire","Ontario","Killed 73 people"
"1916","500,000 acres (200,000 ha)","Great Matheson Fire","Ontario","Killed 228 (U.O. 400+) people and destroyed several towns, Cochrane burnt again after just five years."
"1918","100,000 acres (40,000 ha)","Cloquet Fire","Minnesota- Wisconsin","Killed between 400 and 500 people"
"1919","5,000,000 acres (2,023,000 ha)","Great Fire of 1919","Alberta and Saskatchewan","Spanning from Lac La Biche, AB to almost Prince Albert, SK. Village of Lac La Biche destroyed. 300+ people homeless. An estimated $200,000 in property damage. Cause: drought, high winds, lightning. Forest Fire area burned is an estimation.[12][13]"
"1922","415,000 acres (168,000 ha)","Great Fire of 1922","Ontario","Killed 43 people and burnt through 18 townships in the Timiskaming District"
