"Rehoboth, Massachusetts tornado","August 1671","Massachusetts","-","0 fatalities","Earliest recorded U.S. tornado."
"Cambridge, Massachusetts tornado","July 8, 1680","Massachusetts","-","1 fatality","Earliest recorded U.S. tornado with fatalities."
"Four-State Tornado Swarm","August 15, 1787","New England","-","2 fatalities","First known U.S tornado outbreak."
"1812 Washington, D.C. tornado","August 25, 1814","Washington, D.C.","-","c. 30 fatalities","Killed several British soldiers occupying the city. The British subsequently abandoned the city."
"September 1821 New England tornado outbreak","Sep 9, 1821","New England",">5","8 fatalities","One of the most destructive New England outbreaks ever documented. Produced a deadly multiple-vortex tornado in New Hampshire."
"Great Natchez Tornado","May 7, 1840","Southeastern United States",">1","317+ fatalities, 109+ injuries","Second-deadliest tornado in U.S. history"
"September 1845 New York outbreak","Sep 20, 1845","New York, Vermont",">5","–","Multiple long-track tornadoes crossed upstate New York"
"June 1860 Mid-Mississippi Valley tornado outbreak","June 3, 1860","Middle Mississippi Valley","–","≥148 fatalities, ≥409 injuries","Very violent outbreak. Produced a deadly tornado or tornado family that struck Camanche, Iowa."
"1865 Viroqua, Wisconsin tornado","June 28, 1865","Viroqua, Wisconsin",">1","≥22 fatalities","One of Wisconsin's first killer tornadoes. Also one of the first documentations of a multiple-vortex tornado."
"1871 St. Louis tornado","March 8, 1871","Middle Mississippi Valley","≥1","9 fatalities, 60 injuries","F3 tornado killed nine people in St. Louis."
"May 1873 Midwest tornado outbreak","May 22, 1873","Midwestern United States","≥7","18 fatalities, ≥ 93 injuries","(3 violent killers)"
"March 1875 Southeast tornado outbreak","March 19–20, 1875","Southeastern United States","≥19","≥96 fatalities, ≥367 injuries","Outbreak produced seven F4s. The worst of the damage and most of the fatalities took place in Georgia. (15 significant, 7 violent, 12 killer)"
"May 1875 Southeast tornado outbreak","May 1, 1875","Southeastern United States","–","58 fatalities, 195 injuries","Included several long-tracked, F3 tornado families. (1 violent, 7 killer)"
"1878 Wallingford tornado","August 9, 1878","Connecticut","–","34 fatalities, ≥70 injuries","Deadliest tornado in Connecticut history. Estimated to have been an F4."
"May 1879 Central Plains tornado outbreak","May 29–30, 1879","Central Great Plains","–","≥36 fatalities, ≥186 injuries","(≥15 significant, 6 violent, ≥9 killer)"
"April 1880 tornado outbreak","April 18, 1880","Mississippi Valley – Great Plains","–","≥165 fatalities, ≥511 injuries","99 people killed in and near Springfield and Marshfield, Missouri. Three long-tracked F4s in Missouri. (>22 significant, 5 violent, 14 killer)"
"June 1881 tornado outbreak","June 11–12, 1881","Great Plains – Midwest","≥11","20 fatalities, ≥141 injuries","Produced five violent tornadoes across three states, one of which was an F4 that destroyed the community of Floral, Kansas. Another F4 that hit near Hopkins, Missouri, may have been an F5. (11 significant, 5 violent, 7 killer)"
"1881 Minnesota tornado outbreak","July 15–16, 1881","Minnesota","≥ 6","24 fatalities, ≥123 injuries","Produced a destructive F4 (possibly F5) tornado in New Ulm, Minnesota, along with other killer tornadoes in rural areas, including one that killed four people. (6 significant, 2 violent, 2 killer)"
"April 1883 Southeast tornado outbreak","April 22–23, 1883","Southeastern United States","–","≥109 fatalities, ≥755 injuries","Produced several killer F3+ tornadoes in Mississippi and Georgia. (17 significant, 3 violent, 13 killer)"
"May 1883 tornado outbreak","May 18, 1883","Middle-Lower Mississippi Valley","–","≥64 fatalities, ≥386 injuries","One of the most intense outbreaks ever to hit Illinois, where five F4s struck. (≥21 significant, 6 violent, 16 killers)"
"1883 Rochester tornado","August 21, 1883","Rochester, Minnesota","–","37 fatalities, 200+ injured","F5 tornado led to the formation of the Mayo Clinic.[citation needed]"
"1884 Enigma tornado outbreak","February 19–20, 1884","Central – Eastern United States",">51",">178 fatalities, ≥1056 injuries","Among largest known outbreaks ever recorded. Produced violent and killer tornadoes across a large portion of the Southeastern United States, killing well over 170 people. Long-track F4 tornado moved through Alabama and Georgia, killing 30 people. Another F4—the deadliest in North Carolina history—hit Rockingham, North Carolina, and killed 23."
"1884 March tornado outbreak","March 24–25, 1884","Southeastern United States – Ohio Valley",">29","32 fatalities","(29 significant, 11 killer)"
"1884 Howard, South Dakota tornado","August 28, 1884","Howard, South Dakota","–","4 fatalities, 2 injuries","One of the oldest known tornado photographs"
"April 1885 tornado outbreak","April 1885","Texas","-","60 fatalities, 4 injuries","One of the tornado struck Waco."
"1886 Sauk Rapids tornado","April 14, 1886","Central Minnesota","–","72 fatalities, 200+ injuries","Deadliest tornado in Minnesota history. Estimated to have been an F4."
"1890 St. Louis tornado outbreak","January 12, 1890","Middle Mississippi Valley","–","16 fatalities, 91 injuries","(≥1 violent, 3 killer)"
"March 1890 middle Mississippi Valley tornado outbreak","March 27, 1890","Middle Mississippi Valley","–","≥146 fatalities, ≥847 injuries","Deadly tornado outbreak killed at least 146 people across the Midwest. An F4 that struck downtown Louisville killed 76 people alone. Four other F4s, including a long-tracked tornado family that killed 21 people in southern Indiana and northern Kentucky."
"1890 Lawrence tornado","July 26, 1890","Lawrence, Massachusetts","–","8 fatalities, 63 injuries","Path 11 mi (18 km) long through the city."
"1892 Southern Minnesota tornado","June 15, 1892","Minnesota","–","12 fatalities, 72 injuries","Estimated to have been F5 intensity."
"1894 Upper Mississippi Valley tornado outbreak","September 21–22, 1894","Upper Mississippi Valley","–",">63 fatalities, >253 injuries","Included a long-tracked F4 tornado family in Iowa and Wisconsin. (>9 significant, 4 violent, 5 killer)"
"1895 Kansas-Iowa tornado outbreak","May 1–3, 1895","Central-Northern Great Plains","–",">18–35 fatalities, >67 injuries","Seven people killed in schools in Ireton-Hull, Iowa. (2 F5s, 3 killer)"
"May 1896 tornado outbreak sequence","May 15–28, 1896","Upper Mississippi Valley – Great Lakes (Ontario)","–","≥484 fatalities, >2,000 injuries","The deadliest tornado outbreak sequence in American history. Killer tornadoes touched down from Texas to Pennsylvania. Produced at least three F5 tornadoes and several F4s, including an F4 that killed at least 255 people and injured 1,236 in the St. Louis area."
"1898 Fort Smith, Arkansas tornado","January 11, 1898","Lower Mississippi Valley","–","≥56 fatalities, ≥119 injuries","Devastating F4 tornado struck Fort Smith. (1 violent, 2 killer)"
"May 1898 Mississippi Valley tornado outbreaks","May 17–18, 1898","Middle-Upper Mississippi Valley","–","55 fatalities, ≥380 injuries","(5 violent, 10 killer)"
"1899 New Richmond tornado","June 11–12, 1899","Upper Midwest","–","≥117 fatalities, ≥203 injuries","Devastating F5 destroyed the town of New Richmond, Wisconsin. Deadliest Wisconsin tornado on record, ninth deadliest in US history."
"1900 Plains tornado outbreak","May 5–6, 1900","Nebraska-Texas-Missouri","–","≥3 fatalities, ≥16 injuries","May 6 named ""day of the cyclones"" by the press. (≥19 significant, 2 killer)"
